symbol,primary_exchange_,bbg_prim_exch_symbol,short_name,industry_sector,industry_group,offering_type,pre/post,launch_date,px_date,start_date,"book_build_
days",uop,left_lead,active_book,co-managers,anncd_shares,priced_shares,upsize?,anncd_proceeds,"pre_shoe
_proceeds",type,pe_sellers,pricing,"dilution_
float",dilution_so,volume_avg_3m,deal_size_vs_adv,eqy_float,eqy_sh_out,short_int,dtc,si_percent_equity_float,beta,cur_mkt_cap,curr_entp_val,median_pt,pt_vs_launch_px,px_official_close,px_open,last_price,gap_%,chg_pct_5d,chg_pct_1m,change_from_ap,px_disc_from_launch,px_disc_from_open,trade_date,pricing_day_close,"subscription
_multiple_",mkting_vwap,"pre_open
_volume","pre_open_volume
_%_of_deal",td_open,"td_open_

vs_deal","td_open_vs_
pd_close",open_print_%,td_low_px,"td_low_px_
vs_deal",break,td_close,"td_close

vs_deal","td_close_
vs
pd_close","td_close
_
vs_td_open","td_vwap_
vs_deal","td_volume_
mkt_hours","mkt_hours_volume_
%_of_deal",td_total_volume,"td_volume_as_
%_of_priced_shares"
ACMR US Equity,UQ Equity,ACMR UQ Equity,ACM RESEARCH-A,Technology,Semiconductors,Sec,post,8/13/2019,8/14/2019,8/14/2019,1,GCP,STIF,NEED  ,,2,1.79,downsized,$28.00 ,$25.06 ,Primary,No,$14.00 ,22.79%,12.39%,"592,129",3.38,8.77,15.92,"107,807",0.18,1.24%,1,$295.58 ,$277.90 ,$24.00 ,31%,$18.31 ,$16.94 ,,-7.48%,,,,-23.54%,-17.36%,8/15/2019,$14.51 ,2,$15.14 ,"100,085",5.59%,$14.00 ,0.00%,-3.51%,1.16%,$13.35 ,-4.64%, YES ,$13.98 ,-0.14%,-3.65%,-0.14%,#VALUE!,"1,010,176",56.43%,"1,110,261.00",62.00%
VAPO US Equity,UN Equity,VAPO UN Equity,VAPOTHERM INC,"Consumer, Non-cyclical",Healthcare-Services,Sec,post,7/30/2019,8/1/2019,7/31/2019,2,GCP,BAML,WBLR,,2.6,3.11,upsized,$37.70 ,$45.10 ,Primary,No,$14.50 ,23.77%,14.86%,"480,330",5.41,10.94,17.5,"241,009",0.5,2.22%,0.91,$317.61 ,$316.37 ,$26.50 ,46%,$18.15 ,$16.30 ,,-10.19%,,,,-20.11%,-11.04%,8/2/2019,$15.18 ,2,$15.80 ,"59,080",1.90%,$14.15 ,-2.41%,-6.79%,1.78%,$13.94 ,-3.86%, YES ,$14.55 ,0.34%,-4.15%,2.83%,-1.26%,"1,359,707",43.72%,"1,418,787.00",45.60%
CCO US Equity,UN Equity,CCO UUN Equity,CLEAR CHANNEL OU,Communications,Advertising,Sec,post,7/22/2019,7/25/2019,7/23/2019,3,Debt,MS,JPM BARC,,100,100,no change,$350.00 ,$350.00 ,Primary,No,$3.50 ,38.56%,27.34%,"3,350,056",29.85,259.34,365.77,"5,592,097",1.67,2.16%,0.94,"$1,532.59 ","$8,616.29 ",$6.00 ,43%,$4.19 ,$3.66 ,,-12.65%,,,,-16.47%,-4.37%,7/26/2019,$3.50 ,2,$3.56 ,"4,993,445",4.99%,$3.29 ,-6.00%,-6.00%,1.22%,$3.25 ,-7.14%, YES ,$3.34 ,-4.57%,-4.57%,1.52%,-4.62%,"36,567,035",36.57%,"41,560,480.00",41.60%
AMRN US Equity,UQ Equity,AMRN UQ Equity,AMARIN CORP -ADR,"Consumer, Non-cyclical",Biotechnology,Sec,post,7/17/2019,7/18/2019,7/18/2019,1,Drug Launch,JPM,GS,,22.22,22.22,no change,$399.96 ,$399.96 ,Primary,No,$18.00 ,6.72%,6.72%,"14,746,494",1.51,330.69,330.69,"31,975,343",2.17,9.67%,1.07,"$6,967.57 ","$6,845.54 ",$30.50 ,45%,$21.07 ,$19.16 ,,-9.07%,,,,-14.57%,-6.05%,7/19/2019,$18.90 ,2,$19.14 ,"2,692,141",12.12%,$18.20 ,1.11%,-3.70%,2.02%,$17.95 ,-0.28%, YES ,$18.08 ,0.44%,-4.34%,-0.66%,1.46%,"25,845,594",116.32%,"28,537,735.00",128.40%
RMR US Equity,UR Equity,RMR UUR Equity,RMR GROUP-A,Financial,Real Estate,Sec,pre,6/17/2019,6/26/2019,6/17/2019,8,Selling SHs,CITI,MS,,7.94,7.94,no change,$317.60 ,$317.60 ,Secondary,No,$40.00 ,112.72%,25.42%,"94,089",84.39,7.04,15.24,"347,476",3.69,4.93%,1.16,"$1,590.10 ","$1,121.12 ",$80.00 ,57%,$50.90 ,$49.03 ,,-3.67%,,,,-21.41%,-18.42%,6/27/2019,$42.14 ,2,$46.46 ,"289,925",3.65%,$41.96 ,4.90%,-0.43%,0.42%,$41.96 ,4.90%, NO ,$43.96 ,9.90%,4.32%,4.77%,9.72%,"1,993,261",25.10%,"2,283,186.00",28.80%
BHVN US Equity,UN Equity,BHVN UN Equity,BIOHAVEN PHARMAC,"Consumer, Non-cyclical",Biotechnology,Sec,post,6/17/2019,6/18/2019,6/18/2019,1,Drug Launch,GS,PJ ,,6.98,6.98,no change,$300.14 ,$300.14 ,Primary,No,$43.00 ,19.42%,15.72%,"1,117,575",6.25,35.94,44.4,"4,371,152",3.91,12.16%,1.55,"$2,546.53 ","$2,329.12 ",$70.00 ,22%,$57.36 ,$40.48 ,,-29.43%,,,,-25.03%,6.23%,6/19/2019,$43.82 ,2,$42.95 ,"285,895",4.10%,$43.03 ,0.07%,-1.80%,1.35%,$40.24 ,-6.42%, YES ,$40.65 ,-5.47%,-7.23%,-5.53%,-2.53%,"5,726,663",82.04%,"6,012,558.00",86.10%
ORTX US Equity,UW Equity,ORTX UW Equity,ORCHARD THERAPEU,"Consumer, Non-cyclical",Biotechnology,Sec,post,6/3/2019,6/5/2019,6/4/2019,2,Drug Development,JPM,GS COWN BARC,,9,9,no change,$128.25 ,$128.25 ,Primary,No,$14.25 ,10.48%,10.48%,"343,624",26.19,85.87,85.87,"2,557,751",7.44,2.79%,1.02,"$1,639.17 ","$1,033.00 ",$25.00 ,31%,$19.09 ,$17.18 ,,-10.01%,,,,-25.35%,-17.05%,6/6/2019,$15.04 ,2,$15.76 ,"147,751",1.64%,$14.31 ,0.42%,-4.85%,0.46%,$14.00 ,-1.75%, YES ,$14.55 ,2.11%,-3.26%,1.68%,0.27%,"2,330,316",25.89%,"2,478,067.00",27.50%
ICPT US Equity,UW Equity,ICPT UW Equity,INTERCEPT PHARMA,"Consumer, Non-cyclical",Biotechnology,Sec + Cvt,post,5/8/2019,5/9/2019,5/9/2019,1,Drug Development,GS,JEFF CS,0,2.4,2.4,no change,$200.40 ,$200.40 ,Primary,No,$83.50 ,10.61%,8.06%,"559,271",4.29,22.62,29.79,"5,255,704",9.4,23.36%,1.86,"$2,608.33 ","$2,646.00 ",$150.00 ,71%,$87.57 ,$83.00 ,,-5.22%,,,,-4.65%,0.60%,5/10/2019,$83.90 ,2,$84.71 ,"168,029",7.00%,$83.47 ,-0.04%,-0.51%,1.11%,$83.35 ,-0.18%, YES ,$86.66 ,3.78%,3.29%,3.82%,2.93%,"2,818,574",117.44%,"2,986,603.00",124.40%
FIXX US Equity,UW Equity,FIXX UW Equity,HOMOLOGY MEDICIN,"Consumer, Non-cyclical",Biotechnology,Sec,post,4/8/2019,4/9/2019,4/9/2019,1,Drug Development,BAML,COWN,2,5.56,5.56,no change,$125.10 ,$125.10 ,Primary,No,$22.50 ,32.10%,14.81%,"305,586",18.19,17.32,37.54,"2,583,912",8.46,14.92%,1.02,"$1,109.64 ",$921.67 ,$36.00 ,22%,$29.56 ,$27.57 ,,-6.73%,,,,-23.88%,-18.39%,4/10/2019,$23.57 ,2,$25.73 ,"185,718",3.34%,$22.00 ,-2.22%,-6.66%,1.21%,$21.64 ,-3.82%, YES ,$22.11 ,-1.73%,-6.19%,0.50%,-1.93%,"2,278,307",40.98%,"2,464,025.00",44.30%
BPMC US Equity,UW Equity,BPMC UW Equity,BLUEPRINT MEDICI,"Consumer, Non-cyclical",Biotechnology,Sec,post,3/27/2019,3/28/2019,3/28/2019,1,Drug Development,GS,COWN,2,4.05,4.05,no change,$299.70 ,$299.70 ,Primary,No,$74.00 ,9.53%,9.18%,"793,869",5.1,42.51,44.1,"2,984,846",3.76,7.02%,1.56,"$3,522.66 ","$3,043.27 ",$101.50 ,27%,$79.88 ,$79.20 ,,-0.85%,,,,-7.36%,-6.57%,3/29/2019,$75.71 ,2,$76.72 ,"214,878",5.31%,$76.42 ,3.27%,0.94%,0.89%,$75.52 ,2.05%, NO ,$80.05 ,8.18%,5.73%,4.75%,6.62%,"1,889,338",46.65%,"2,104,216.00",52.00%
HZNP US Equity,UW Equity,HZNP UW Equity,HORIZON THERAPEU,"Consumer, Non-cyclical",Pharmaceuticals,Sec,post,3/4/2019,3/6/2019,3/5/2019,2,,CITI,MS GS COWN,0,12.24,12.24,no change,$299.88 ,$299.88 ,Primary,No,$24.50 ,7.31%,7.22%,"1,839,320",6.65,167.34,169.62,"5,207,983",2.83,3.11%,0.96,"$4,751.04 ","$5,689.01 ",$33.00 ,18%,$28.01 ,$27.49 ,,-1.86%,,,,-12.53%,-10.88%,3/7/2019,$25.48 ,2,$26.47 ,"447,113",3.65%,$24.32 ,-0.73%,-4.55%,1.11%,$24.19 ,-1.27%, YES ,$25.82 ,5.39%,1.33%,6.17%,3.66%,"6,369,505",52.04%,"6,816,618.00",55.70%
BNFT US Equity,UQ Equity,BNFT UQ Equity,BENEFITFOCUS INC,Technology,Software,Sec,post,2/26/2019,2/28/2019,2/27/2019,2,Selling SHs,JPM,GS BAML,4,5.7,5.7,downsized,$275.25 ,$275.03 ,Secondary,Yes,$48.25 ,26.48%,17.80%,"581,134",9.82,21.55,32.04,"2,854,321",4.91,13.30%,1.03,"$1,851.96 ","$1,930.00 ",$58.00 ,0%,$57.80 ,$51.24 ,,-11.35%,,,,-16.52%,-5.84%,3/1/2019,$49.12 ,2,$50.48 ,"367,951",6.46%,$47.04 ,-2.51%,-4.23%,1.80%,$45.62 ,-5.45%, YES ,$46.04 ,-4.58%,-6.27%,-2.13%,-3.59%,"3,850,215",67.55%,"4,218,166.00",74.00%
URGN US Equity,UQ Equity,URGN UQ Equity,UROGEN PHARMA LT,"Consumer, Non-cyclical",Pharmaceuticals,Sec,post,1/22/2019,1/23/2019,1/23/2019,1,Drug Development,GS,JPM JEFF,1,3,3.66,upsized,$123.00 ,$150.06 ,Primary,No,$41.00 ,26.08%,18.63%,"241,756",12.41,11.5,16.1,"770,675",3.19,6.70%,1.21,$864.05 ,$762.73 ,$72.50 ,35%,$53.66 ,$50.64 ,,-5.63%,,,,-23.59%,-19.04%,1/24/2019,$45.93 ,2,$47.12 ,"356,917",9.75%,$41.56 ,1.37%,-9.51%,1.96%,$40.25 ,-1.83%, YES ,$42.50 ,3.66%,-7.47%,2.26%,1.13%,"2,888,317",78.92%,"3,245,234.00",88.70%
RVNC US Equity,UQ Equity,RVNC UQ Equity,REVANCE THERAPEU,"Consumer, Non-cyclical",Pharmaceuticals,Sec,post,1/15/2019,1/16/2019,1/16/2019,1,Drug Development,GS,PJ COWN,0,5.88,5.88,no change,$99.96 ,$99.96 ,Primary,No,$17.00 ,16.12%,15.90%,"935,199",6.29,36.49,36.99,"3,531,084",3.78,9.68%,0.94,$746.78 ,$570.97 ,$50.00 ,148%,$20.19 ,$19.27 ,,-4.56%,,,,-15.80%,-11.78%,1/17/2019,$18.12 ,2,$18.43 ,"432,248",7.35%,$17.78 ,4.59%,-1.85%,1.15%,$16.76 ,-1.41%, YES ,$17.23 ,1.35%,-4.89%,-3.09%,1.03%,"3,003,353",51.08%,"3,435,601.00",58.40%
TOCA US Equity,UW Equity,TOCA UW Equity,TOCAGEN INC,"Consumer, Non-cyclical",Biotechnology,Sec,post,12/11/2018,12/12/2018,12/12/2018,2,Drug Development,CITI,LEER,0,3,3,no change,$30.00 ,$30.00 ,Primary,No,$10.00 ,17.03%,15.04%,"2,201,310",1.36,17.62,19.95,"1,365,529",0.62,7.75%,1.32,$255.80 ,$202.01 ,$27.00 ,111%,$12.82 ,$11.03 ,,-13.96%,,,,-22.00%,-9.34%,12/13/2018,$11.23 ,2,$11.11 ,"442,217",14.74%,$10.36 ,3.60%,-7.75%,1.67%,$9.41 ,-5.90%, YES ,$9.95 ,-0.50%,-11.40%,-3.96%,-1.28%,"2,692,612",89.75%,"3,134,829.00",104.50%
INSP US Equity,UN Equity,INSP UN Equity,INSPIRE MEDICAL,"Consumer, Non-cyclical",Healthcare-Products,Sec,pre,12/4/2018,12/6/2018,12/4/2018,3,"Drug Development, Selling SHs",BAML,LEER WFC,2,2.5,2.5,no change,$100.00 ,$100.00 ,Both,No,$40.00 ,20.95%,11.68%,"197,770",12.64,11.94,21.4,"1,357,715",6.87,11.39%,1.86,"$1,024.86 ",$929.25 ,$53.50 ,12%,$47.89 ,$42.95 ,,-10.32%,,,,-16.48%,-6.87%,12/7/2018,$41.07 ,2,$43.29 ,"51,650",2.07%,$39.75 ,-0.63%,-3.21%,1.24%,$36.03 ,-9.93%, YES ,$37.07 ,-7.33%,-9.74%,-6.74%,-4.49%,"1,491,561",59.66%,"1,543,211.00",61.70%
MNTA US Equity,UW Equity,MNTA UW Equity,MOMENTA PHARMACE,"Consumer, Non-cyclical",Pharmaceuticals,Sec,post,12/5/2018,12/6/2018,12/6/2018,1,Drug Development,GS,-,0,15,17.39,upsized,$172.50 ,$199.99 ,Primary,No,$11.50 ,19.56%,19.09%,"829,613",18.08,76.7,78.56,"2,210,568",2.66,2.88%,1.13,$877.50 ,$595.94 ,$22.50 ,101%,$11.17 ,$10.37 ,,-7.16%,,,,2.95%,10.90%,12/7/2018,$12.08 ,2,$11.37 ,"120,766",0.69%,$12.09 ,5.13%,0.08%,0.47%,$11.45 ,-0.43%, YES ,$14.25 ,23.91%,17.96%,17.87%,16.77%,"8,361,439",48.08%,"8,482,205.00",48.80%
SJW US Equity,UN Equity,SJW UUN Equity,SJW GROUP,Utilities,Water,Sec,post,11/26/2018,11/28/2018,11/27/2018,2,Acq,JPM,UBS RBC BARC,2,6.75,6.75,no change,$371.25 ,$371.25 ,Primary,No,$55.00 ,37.76%,32.72%,"184,141",36.66,17.88,20.63,"144,734",0.79,0.81%,0.6,"$1,347.42 ","$1,816.06 ",$62.50 ,-4%,$65.31 ,$61.62 ,,-5.65%,,,,-15.79%,-10.74%,11/29/2018,$56.59 ,2,$57.78 ,"476,154",7.05%,$55.13 ,0.24%,-2.58%,1.55%,$53.30 ,-3.09%, YES ,$53.60 ,-2.55%,-5.28%,-2.78%,-0.69%,"3,249,826",48.15%,"3,725,980.00",55.20%
ED US Equity,UN Equity,ED USUN Equity,CONS EDISON INC,Utilities,Electric,Sec,post,11/13/2018,11/15/2018,11/14/2018,2,Selling SHs,CITI,JPM BARC,0,13.64,13.64,no change,"$1,050.28 ","$1,050.28 ",Primary,No,$77.00 ,4.39%,4.38%,"2,231,682",6.11,310.75,325.11,"14,408,632",6.46,4.64%,0.13,"$24,636.35 ","$42,443.32 ",$77.00 ,-3%,$79.11 ,$78.19 ,,-1.16%,,,,-2.67%,-1.52%,11/16/2018,$76.54 ,2,$77.47 ,"27,650",0.20%,$77.45 ,0.58%,1.19%,0.74%,$76.30 ,-0.91%, YES ,$77.00 ,0.00%,0.60%,-0.58%,-0.26%,"4,059,663",29.76%,"4,087,313.00",30.00%
NGHC US Equity,UQ Equity,NGHC UQ Equity,NATIONAL GENERAL,Financial,Insurance,Sec,post,11/13/2018,11/14/2018,11/14/2018,1,"Acq, GCP",GS,JPM DB,4,5,5,no change,$120.00 ,$120.00 ,Primary,No,$24.00 ,8.52%,4.67%,"292,780",17.08,58.66,107.13,"678,062",2.32,1.16%,0.72,"$2,978.29 ","$3,687.02 ",$30.00 ,8%,$27.80 ,$27.09 ,,-2.55%,,,,-13.67%,-11.41%,11/15/2018,$24.75 ,2,$25.52 ,"203,616",4.07%,$24.00 ,0.00%,-3.03%,1.15%,$23.90 ,-0.42%, YES ,$25.87 ,7.79%,4.53%,7.79%,4.45%,"2,239,525",44.79%,"2,443,141.00",48.90%
SRPT US Equity,UW Equity,SRPT UW Equity,SAREPTA THERAPEU,"Consumer, Non-cyclical",Pharmaceuticals,Sec,post,11/7/2018,11/8/2018,11/8/2018,1,Drug Development,GS,JPM CS,0,3.82,3.82,no change,$500.42 ,$500.42 ,Primary,No,$131.00 ,6.07%,5.72%,"1,138,028",3.36,62.91,66.82,"9,361,846",8.23,14.88%,1.52,"$9,626.61 ","$8,789.45 ",$190.50 ,32%,$144.06 ,$138.76 ,,-3.68%,,,,-9.07%,-5.59%,11/9/2018,$133.00 ,2,$136.24 ,"152,681",4.00%,$126.72 ,-3.27%,-4.72%,1.55%,$123.07 ,-6.05%, YES ,$125.46 ,-4.23%,-5.67%,-0.99%,-3.69%,"2,965,477",77.63%,"3,118,158.00",81.60%
PTI US Equity,UQ Equity,PTI UUQ Equity,PROTEOSTASIS THE,"Consumer, Non-cyclical",Pharmaceuticals,Sec,post,10/22/2018,10/23/2018,10/23/2018,1,Drug Development,LEER,PJ CANT,1,9,11,upsized,$60.75 ,$74.25 ,Primary,No,$6.75 ,34.73%,24.53%,"2,684,267",3.35,25.91,36.7,"2,083,696",0.78,8.04%,-1.21,$264.22 ,$302.67 ,$12.50 ,74%,$7.20 ,$6.74 ,,-6.39%,,,,-6.25%,0.15%,10/24/2018,$7.40 ,2,$7.30 ,"809,148",7.36%,$7.81 ,15.70%,5.54%,0.70%,$5.23 ,-22.52%, YES ,$5.35 ,-20.74%,-27.70%,-31.50%,-1.92%,"12,172,152",110.66%,"12,981,300.00",118.00%
ALDX US Equity,UR Equity,ALDX UR Equity,ALDEYRA THERAPEU,"Consumer, Non-cyclical",Biotechnology,Sec,post,9/26/2018,9/27/2018,9/27/2018,1,Drug Development,CITI,CANT,0,5.25,5.25,no change,$72.19 ,$72.19 ,Primary,No,$13.75 ,31.26%,25.03%,"724,278",7.25,16.8,20.98,"402,855",0.56,2.40%,0.69,$280.02 ,$167.32 ,$31.00 ,132%,$13.35 ,$13.55 ,,1.50%,,,,3.00%,1.48%,9/28/2018,$14.35 ,2,$14.06 ,"768,315",14.63%,$13.40 ,-2.55%,-6.62%,1.26%,$13.35 ,-2.91%, YES ,$13.80 ,0.36%,-3.83%,2.99%,0.43%,"3,542,175",67.47%,"4,310,490.00",82.10%
